"219","St Gaétan","06:31:00","21:20:00","07/08"
"220","St Dominique","06:33:00","21:18:00","08/08"
"221","St Amour","06:34:00","21:16:00","09/08"
"222","St Laurent","06:35:00","21:15:00","10/08"
"223","Ste Claire","06:37:00","21:13:00","11/08"
"224","Ste Clarisse","06:38:00","21:11:00","12/08"
"225","St Hippolyte","06:40:00","21:10:00","13/08"
"226","St Evrard","06:41:00","21:08:00","14/08"
"227","Ste Marie","06:42:00","21:06:00","15/08"
"228","St Armel","06:44:00","21:04:00","16/08"
"229","Ste Hyacinthe","06:45:00","21:02:00","17/08"
"230","Ste Hélène","06:47:00","21:00:00","18/08"
"231","St Jean Eudes","06:48:00","20:59:00","19/08"
"232","St Bernard","06:49:00","20:57:00","20/08"
"233","St Christophe","06:51:00","20:55:00","21/08"
"234","St Fabrice","06:52:00","20:53:00","22/08"
"235","Ste Rose de L.","06:54:00","20:51:00","23/08"
"236","St Barthélemy","06:55:00","20:49:00","24/08"
"237","St Louis","06:57:00","20:47:00","25/08"
"238","Ste Natacha","06:58:00","20:45:00","26/08"
"239","Ste Monique","06:59:00","20:43:00","27/08"
"240","St Augustin","07:01:00","20:41:00","28/08"
"241","Ste Sabine","07:02:00","20:39:00","29/08"
"242","St Fiacre","07:04:00","20:37:00","30/08"
"243","St Aristide","07:05:00","20:35:00","31/08"
"244","St Gilles","07:06:00","20:33:00","01/09"
"245","Ste Ingrid","07:08:00","20:31:00","02/09"
"246","St Grégoire","07:09:00","20:29:00","03/09"
"247","Ste Rosalie","07:11:00","20:27:00","04/09"
"248","Ste Raïssa","07:12:00","20:25:00","05/09"
"249","St Bertrand","07:14:00","20:23:00","06/09"
"250","Ste Reine","07:15:00","20:21:00","07/09"
"251","St Adrien","07:16:00","20:18:00","08/09"
"252","St Alain","07:18:00","20:16:00","09/09"
"253","Ste Inès","07:19:00","20:14:00","10/09"
"254","St Adelphe","07:21:00","20:12:00","11/09"
"255","St Apollinaire","07:22:00","20:10:00","12/09"
"256","St Aimé","07:23:00","20:08:00","13/09"
"257","St Cyprien","07:25:00","20:06:00","14/09"
"258","St Roland","07:26:00","20:04:00","15/09"
"259","Ste Edith","07:28:00","20:02:00","16/09"
"260","St Renaud","07:29:00","19:59:00","17/09"
"261","Ste Nadège","07:31:00","19:57:00","18/09"
"262","Ste Emilie","07:32:00","19:55:00","19/09"
"263","St Davy","07:33:00","19:53:00","20/09"
"264","St Matthieu","07:35:00","19:51:00","21/09"
"265","St Maurice","07:36:00","19:49:00","22/09"
"266","St Constant","07:38:00","19:47:00","23/09"
"267","Ste Thècle","07:39:00","19:44:00","24/09"
"268","St Hermann","07:41:00","19:42:00","25/09"
"269","St Côme/Damien","07:42:00","19:40:00","26/09"
"270","St Vincent de Pau","07:43:00","19:38:00","27/09"
"271","St Venceslas","07:45:00","19:36:00","28/09"
"272","St Michel/Gabriel","07:46:00","19:34:00","29/09"
"273","St Jérôme","07:48:00","19:32:00","30/09"
"274","Ste Th. de l'E. J","07:49:00","19:30:00","01/10"
"275","St Léger","07:51:00","19:28:00","02/10"
"276","St Gérard","07:52:00","19:25:00","03/10"
"277","St Fr. d'Assise","07:54:00","19:23:00","04/10"
"278","Ste Fleur","07:55:00","19:21:00","05/10"
"279","St Bruno","07:57:00","19:19:00","06/10"
"280","St Serge","07:58:00","19:17:00","07/10"
"281","Ste Pélagie","08:00:00","19:15:00","08/10"
"282","St Denis","08:01:00","19:13:00","09/10"
"283","St Ghislain","08:03:00","19:11:00","10/10"
"284","St Firmin","08:04:00","19:09:00","11/10"
"285","St Wilfrid","08:06:00","19:07:00","12/10"
"286","St Géraud","08:07:00","19:05:00","13/10"
"287","St Juste","08:09:00","19:03:00","14/10"
"288","Ste Th. d'Avila","08:10:00","19:01:00","15/10"
"289","Ste Edwige","08:12:00","18:59:00","16/10"
"290","St Baudouin","08:13:00","18:57:00","17/10"
"291","St Luc","08:15:00","18:55:00","18/10"
"292","St René","08:16:00","18:53:00","19/10"
"293","Ste Adeline","08:18:00","18:51:00","20/10"
"294","Ste Céline","08:19:00","18:50:00","21/10"
"295","Ste Elodie","08:21:00","18:48:00","22/10"
"296","St J. de Capistan","08:22:00","18:46:00","23/10"
"297","St Florentin","08:24:00","18:44:00","24/10"
"298","St Crespin","08:26:00","18:42:00","25/10"
"299","St Dimitri","08:27:00","18:40:00","26/10"
"300","Ste Emeline","07:29:00","17:39:00","27/10"
"301","St Simon/Jude","07:30:00","17:37:00","28/10"
"302","St Narcisse","07:32:00","17:35:00","29/10"
"303","Ste Bienvenue","07:33:00","17:34:00","30/10"
"304","St Quentin","07:35:00","17:32:00","31/10"
"305","St Bénigne","07:37:00","17:30:00","01/11"
"306","St Victorin","07:38:00","17:29:00","02/11"
"307","St Hubert","07:40:00","17:27:00","03/11"
"308","St Charles","07:41:00","17:25:00","04/11"
"309","Ste Sylvie","07:43:00","17:24:00","05/11"
"310","Ste Bertille","07:45:00","17:22:00","06/11"
"311","Ste Carine","07:46:00","17:21:00","07/11"
"312","St Geoffroy","07:48:00","17:19:00","08/11"
"313","St Théodore","07:49:00","17:18:00","09/11"
"314","St Léon","07:51:00","17:17:00","10/11"
"315","Ste Marine","07:52:00","17:15:00","11/11"
"316","St Christian","07:54:00","17:14:00","12/11"
"317","St Brice","07:56:00","17:13:00","13/11"
"318","St Sidoine","07:57:00","17:11:00","14/11"
"319","St Albert","07:59:00","17:10:00","15/11"
"320","Ste Marguerite","08:00:00","17:09:00","16/11"
"321","Ste Elisabeth","08:02:00","17:08:00","17/11"
"322","Ste Aude","08:03:00","17:07:00","18/11"
"323","St Tanguy","08:05:00","17:06:00","19/11"
"324","St Edmond","08:06:00","17:05:00","20/11"
"325","Prés. Marie","08:08:00","17:04:00","21/11"
"326","Ste Cécile","08:09:00","17:03:00","22/11"
"327","St Clément","08:11:00","17:02:00","23/11"
"328","Christ Roi","08:12:00","17:01:00","24/11"
"329","Ste Catherine","08:14:00","17:00:00","25/11"
"330","Ste Delphine","08:15:00","16:59:00","26/11"
"331","St Séverin","08:16:00","16:59:00","27/11"
"332","St J. de la March","08:18:00","16:58:00","28/11"
"333","St Saturnin","08:19:00","16:57:00","29/11"
"334","St André","08:21:00","16:57:00","30/11"
"335","Ste Florence","08:22:00","16:56:00","01/12"
"336","Ste Viviane","08:23:00","16:56:00","02/12"
"337","St François Xavier","08:24:00","16:55:00","03/12"
"338","Ste Barbara","08:26:00","16:55:00","04/12"
"339","St Gérald","08:27:00","16:54:00","05/12"
"340","St Nicolas","08:28:00","16:54:00","06/12"
"341","St Ambroise","08:29:00","16:54:00","07/12"
"342","Ste Elfried","08:30:00","16:54:00","08/12"
"343","Ste Gorgonie","08:31:00","16:53:00","09/12"
"344","St Romaric","08:32:00","16:53:00","10/12"
"345","St Daniel","08:33:00","16:53:00","11/12"
"346","Ste JF de Chantal","08:34:00","16:53:00","12/12"
"347","Ste Lucie","08:35:00","16:53:00","13/12"
"348","Ste Odile","08:36:00","16:53:00","14/12"
"349","Ste Ninon","08:37:00","16:54:00","15/12"
"350","Ste Alice","08:38:00","16:54:00","16/12"
"351","St Gaël","08:38:00","16:54:00","17/12"
"352","St Gatien","08:39:00","16:54:00","18/12"
"353","St Urbain","08:40:00","16:55:00","19/12"
"354","St Théophile","08:40:00","16:55:00","20/12"
"355","St P. Canisius","08:41:00","16:56:00","21/12"
"356","Ste Françoise-Xavière","08:41:00","16:56:00","22/12"
"357","St Armand","08:42:00","16:57:00","23/12"
"358","Ste Adèle","08:42:00","16:57:00","24/12"
"359","Ste Cyndie","08:42:00","16:58:00","25/12"
"360","St Etienne","08:43:00","16:59:00","26/12"
"361","St Jean l'Evangeliste","08:43:00","16:59:00","27/12"
"362","St Innocents","08:43:00","17:00:00","28/12"
"363","Ste Famille","08:43:00","17:01:00","29/12"
"364","St Roger","08:44:00","17:02:00","30/12"
"365","St Sylvestre","08:44:00","17:03:00","31/12"
"366","St Auguste, Augusta","07:34:00","18:33:00","29/02"
